Less than 90sec same station
33463
31680
29655
31721
29607
26252
31738
31845
26256
31727
29263
26201
31675
31772
31708
29446
26280
31762
26289
29546
31927
29603
31866
29434
31697
31697
26210
26188
31739
29235
31708
29499
26258
26166
29669
31949
26233
26261
26191
29491
33558
29280
29614
26311
29603
33605
29262
33664
26312
29555
26288
26247
29478
26229
26431
29521
26305
26209
29536
29491
29586
29251
29596
33630
29491
29491
33612
29508
29681
26161
29295
27258
29586
33557
29492
29617
33633
29237
29512
29627
26245
29273
29634
33649
33681
29541
26247
33619
26236
33662
26203
29538
29642
26187
29598
26183
26308
33562
26173
29619
29281
29508
29240
33662
29218
29504
29491
29225
29271
29444
29638
29546
26187
26210
26286
26222
26316
26244
26172
29523
33627
26221
26195
29483
26196
29666
26227
29447
33576
29284
33656
33634
26161
29520
29125
29598
29582
29481
26213
26305
26265
26318
33647
33578
26189
33660
29572
29522
33592
26225
29542
29673
26306
27269
29544
29458
26194
33589
29656
29588
29235
29214
29579
29681
33664
29443
33638
26201
33594
26246
29217
29589
29592
26296
26190
32259
29303
29214
33612
29259
29259
33665
29541
33603
29530
29262
26300
19886
29503
33576
26302
29669
29213
33609
33612
33640
33670
29603
29269
26275
33669
26273
26197
29246
29453
33633
29466
29124
29523
26298
29204
26287
33569
33662
26157
33656
29529
26283
29494
26293
26301
33674
33560
26206
26610
29656
33621
33599
29537
32225
29124
29494
33556
29225
26197
29197
29281
26178
26295
26294
29674
33588
29296
26271
33641
29480
33674
33554
26311
15114
29220
29125
29610
26263
26291
29269
32225
26309
29594
26282
26230
29491
29491
29288
33592
26151
29475
33627
29472
32225
29623
29588
32906
26285
29244
26175
29120
29603
29663
29676
33557
29288
29226
26187
29608
29242
33670
29518
33557
26240
29254
29242
26237
25659
26232
26281
26304
26198
33590
26208
29526
29606
29581
29663
29487
26158
33634
26187
29463
29682
29282
26226
29518
33660
29474
32225
26248
33629
29291
29285
29484
29437
28164
26245
33577
26260
26281
29293
26183
29213
33587
29466
26282
33570
29271
29587
33670
26299
26207
29468
29251
29435
29612
29495
33625
33568
26210
33605
29492
29485
33668
33602
29647
29539
33652
33662
26276
29257
29256
26210
29288
26254
33580
33653
26230
26233
33555
29278
26262
29252
29671
29213
29576
26225
26225
26268
29207
29555
29197
29475
29634
26299
29571
29237
26233
26196
26240
26277
26260
26236
29512
26258
29639
29571
29301
29641
29500
26198
29271
26250
26282
29234
29283
26170
26170
29221
29255
26258
29219
26177
26170
29495
26295
